Model, Price
2018 Newest Lenovo Ideapad 15.6" Inch Business Premium Laptop Computer-AMD A12 Quad core Processor CPU, 8GB DDR4 RAM, 1TB HDD, DVD, Webcam, WiFi, Bluetooth, Windows 10 (Affordable High Performance),$594.20
Lenovo  Laptop Ideapad 320S 15.6-Inch (Intel Core i5-8250U, 8 GB DDR4, 1TB HDD, Windows 10 Home), 81BQ000EUS,$804.78
Lenovo Flex 4 Built 2-in-1 Convertible Laptop (2017 Newest), 14 inch Touch Screen HD Display, Intel Pentium Processor 2.1GHz, 4GB RAM, 500GB HDD, WiFi-AC, Bluetooth, HDMI, Webcam, Windows 10,$476.04
Lenovo Flex 11 2-in-1 Convertible Laptop, 11.6 Inch HD Touchscreen Display, Intel® Pentium Silver N5000 Processor, 4GB DDR4, 64 GB eMMC, Windows 10 in S Mode, 81A70006US, Mineral Gray,no price available
2018 Lenovo Newest Flagship HD Laptop with SSD, 8GB RAM, 256GB SSD, Intel Dual Core N3350 Processor up to 2.40GHz, DVD-RW, WiFi, Bluetooth, HDMI, Windows 10, Red,$668.27
2018 Newest Lenovo 320 Business Flagship Laptop PC 15.6" LED-Backlit Display Intel Pentium N4200 Quad-Core Processor 4GB RAM 128GB SSD DVD-RW Bluetooth Webcam 802.11AC HDMI Windows 10-Black,$484.41
Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch HD (1366 x 768) Touchscreen Display, AMD  Ryzen™ 3 2200U Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Windows 10 Home, 81HA0008US, Black,$700.33
ASUS VivoBook Thin and Lightweight FHD WideView Laptop, 8th Gen Intel Core i5-8250U, 8GB DDR4 RAM, 128GB SSD+1TB HDD, USB Type-C, NanoEdge, Fingerprint Reader, Windows 10 - F510UA-AH55,no price available
Lenovo Ideapad 110 Series 15.6 HD Laptop Intel Pentium 4405U 2.10 GHz 4GB DDR4 500GB HDD DVD-RW 802.11AC Bluetooth 4.1 HDMI Win 10 - Black,$429.87
Lenovo Ideapad 15.6 inch HD Flagship High Performance Laptop | AMD A9-9420 | 4GB RAM | 1TB HDD | Bluetooth | DVD-RW | HDMI | Windows 10 Home (Red),$513.66
Lenovo IdeaPad Flagship High Performance 15.6 inch HD Laptop PC | A6-7310 Quad-Core | 4GB RAM | 500GB HDD | DVD+/-RW | HDMI | Ethernet | Windows 10 (Black),no price available
2019 Lenovo ideapad 330s 15.6" HD Laptop Computer, Intel Quad-core i5-8250U up to 3.40 GHz, 24GB (8GB + 16GB Intel Optane), 1TB HDD, HDMI, 802.11 AC WiFi, Bluetooth 4.1, Windows 10, Platinum Grey,no price available
Lenovo 110s Premium Built High Performance 11.6 inch HD Laptop pc Intel Celeron Dual-Core Processor 2GB RAM 32G eMMC Storage Webcam Bluetooth WiFi HDMI Windows 10-Red,no price available
Newest Lenovo Yoga 710 2-in-1 Flagship Premium 15.6" Full HD (1920 x 1080) Touchscreen Laptop | Intel Core i5-7200U | 8GB DDR4 | 256GB SSD | Aluminum Chassis | Fingerprint Reader | Windows 10 Home,$965.74
Lenovo 320-15 - 15.6" HD - AMD A12-9720P - 8GB Memory - 1TB Hard Drive - Gray,$587.47
Lenovo Active Capacity Pens for Touchscreen Laptop (GX80K32882),$34.80
Lenovo ThinkPad X1 Carbon 6th Gen, 14.0'' WQHD, i7-8550U, 16GB RAM, 512GB NVMe SSD, Win 10 Pro, 3Y Warranty,$2,849.00
Lenovo ThinkPad X1 Carbon 6th Gen, 14.0'' WQHD, i7-8550U, 8GB RAM, 256GB NVMe SSD, Win10 Pro, 3Y Warranty,$2,249.00
Lenovo Ultra Slim Sleeve - 14" Grey Soft Fabric,$31.58
Lenovo 15.6" Casual Topload Case 210 - Black,$24.76
Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD (1920 X 1080) Touchscreen Display, AMD Ryzen 5 3500U Processor, Radeon Vega 8 Graphics, 8GB DDR4 RAM, 256GB NVMe SSD, Win 10, Black, Pen Included,$851.47
Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD (1920 X 1080) IPS Touchscreen Display, AMD Ryzen 7 3700U Processor, 8GB DDR4 RAM, 256GB NVMe SSD, Windows 10, 81SS0002US, Onyx Black,$1,433.47
Newest Lenovo Yoga 710 2-in-1 Flagship 15.6 inch Full HD Touchscreen Laptop, Intel Core i5-7200U Dual-Core, 8GB DDR4, 256GB SSD, Aluminum Chassis, Fingerprint Reader, Stereo Speakers, Windows 10 Home,$1,093.56
Lenovo IdeaPad 720s Laptop, 15.6-Inch Laptop (Intel Core i7-7700HQ, NVIDIA GeForce 1050 Ti Graphics, 8 GB DDR4, 256 GB PCIe SSD, Windows 10 Pro),  81AC003EUS, Iron Grey,$2,189.00
2018 Lenovo Newest Flagship HD Laptop with SSD, 4GB RAM, 256GB SSD, Intel Dual Core N3350 Processor up to 2.40GHz, DVD-RW, WiFi, Bluetooth, HDMI, Windows 10, Red,$558.94
Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch HD (1366 X 768) Touchscreen Display, Intel Pentium Gold 5405U Processor, 4GB DDR4 RAM, 128GB NVMe SSD, Windows 10, 81SQ000EUS, Onyx Black,$675.35
2019 Lenovo IdeaPad 2-in-1 Laptop Computer, Premium Flagship 14" Touchscreen, Intel Pentium 4415U 2.3GHz, 8GB DDR4 RAM, 256GB SSD, 802.11AC Wi-Fi, Bluetooth, USB 3.0, HDMI, Windows 10 Home,$884.05
Lenovo 320 Pro Laptop Flagship Edition AMD Quad core AMD A12-9720P | 8G DDR4 | 256G Boot SSD | Windows 10,$619.33
Lenovo Legion Y7000 Gaming Laptop, 15.6" FHD IPS Anti-Glare Laptop (Intel Core i7-8750H Processor, Nvidia GTX 1060, 16 GB DDR4, 1 TB HDD + 128 GB PCIe SSD, Windows 10 Home) 81LF0001US, Black,$2,273.11
2018 Flagship Lenovo IdeaPad 320 15.6" HD Anti-glarey Laptop, Intel Quad-Core Pentium N4200 Up to 2.5GHz, 8GB DDR3, 1TB HDD, DVD-RW, WiFi, Bluetooth, HDMI, 4-in-1 Card Reader, Win 10 - Plum Purple,$549.22
Lenovo Legion Y520 Gaming Laptop - i7-7700HQ, 16GB RAM, 256GB PCIe SSD, NVIDIA GTX 1060 (6GB), FHD IPS 1920x1080,$1,847.85
Lenovo P10 Tab Folio Case and Film, Black, ZG38C02579,$59.95
Lenovo 80XV00HSUS Ideapad 15.6" HD Display Laptop,$562.16
Lenovo IdeaPad 15.6 inch HD Flagship Laptop PC, AMD A12-9720P Quad-Core, 12GB RAM, 1TB HDD, DVD RW, Bluetooth 4.1, Webcam, HDMI, Windows 10 (Platinum Gray),$714.86
Lenovo Yoga 2 11.6" Convertible 2-in-1 Touchscreen Laptop (2017 Model), Intel Core i3-4012Y Processor, 4GB RAM, 500GB HDD, WiFi, Webcam, HDMI, Bluetooth, No DVD, Windows 10,$695.03
Lenovo ThinkPad X1 Carbon 6th Gen Black,$2,497.00
Lenovo Ideapad Flagship Premium 15.6 inch HD Laptop | AMD A9-9420 | 4GB RAM | 1TB HDD | Bluetooth | DVD-RW | HDMI | 802.11ac | Windows 10 Home (Grey),$499.17
Lenovo Ideapad D330-10IGM 81MD001VUS 10.1 Inch Laptop Computer,$487.90
